Department,School,SchType,SchLocation,Grade,NIVEAU2,NIVEAU3,NIVEAU4,NIVEAU5,NIVEAU6,Gender,PassRate,ExcellenceRate,Date,r1h,rfh,r3h,FluctMonth,FluctIntra,FluctTenDays,RainHistVol,HeavyRain,LowRain,ExtreFluctMonth,ExtreFluctIntra,Region,RegionCode,SchYear,IMR,District
BOUNDIALI,EPP MAHALE 2,0,0,CP2,1,0,0,0,0,1,0.125,0.0,2024-02-11,4.214706,1.7882353,18.917648,0.4180041976830648,0.1018841563326125,0.1628289073591153,-0.4995690777482975,0.0,0.0,0.0,0.0,Bagoue,CI05,2023-2024,0.4835212641616769,District des Savanes
BOUAFLE,EPP 3 DE LOAFLA,0,0,CP1,0,0,0,0,0,0,0.9375,0.625,2024-02-11,16.636017,10.862069,35.45977,0.4785813214785727,0.2534546009420403,0.6920634825648778,-0.8516050829775494,0.0,0.0,0.0,0.0,Marahoue,CI23,2023-2024,0.1705520530676714,District du Sassandra-Marahoué
BOUAFLE,EPP 3 DE LOAFLA,0,0,CP2,1,0,0,0,0,0,1.0,0.6842105263157895,2024-02-11,16.636017,10.862069,35.45977,0.4785813214785727,0.2534546009420403,0.6920634825648778,-0.8516050829775494,0.0,0.0,0.0,0.0,Marahoue,CI23,2023-2024,0.1705520530676714,District du Sassandra-Marahoué
SOUBRE,EPP N'GUESSANKONANKRO,0,0,CP2,1,0,0,0,0,1,0.75,0.5,2024-02-11,31.693548,23.616129,103.64515,0.2896692727491413,0.3127735414791679,0.8184674126737705,-0.5899838347245359,0.0,0.0,0.0,0.0,Nawa,CI26,2023-2024,0.3326488705673545,District du Bas-Sassandra
KORHOGO,EPP MELELE YEO,0,1,CP1,0,0,0,0,0,1,0.9090909090909092,0.1818181818181818,2024-02-11,5.5970874,2.356796,18.75728,0.5208152726005315,0.121422363352768,0.0484036378201592,-0.5829888439244371,0.0,0.0,0.0,0.0,Poro,CI28,2023-2024,0.4952019186920952,District des Savanes
BOUNDIALI,EPP TIANGALORO,0,0,CP1,0,0,0,0,0,0,1.0,0.2941176470588235,2024-02-11,4.214706,1.7882353,18.917648,0.4180041976830648,0.1018841563326125,0.1628289073591153,-0.4995690777482975,0.0,0.0,0.0,0.0,Bagoue,CI05,2023-2024,0.2531526969494961,District des Savanes
BOUAKE 2,EPP MAMIAN,0,1,CP2,1,0,0,0,0,0,0.5,0.0,2024-02-11,9.933824,4.9852943,26.25735,0.6350851394186167,0.1774611418523219,0.3001475359238068,-1.0780216503640152,0.0,0.0,0.0,0.0,Gbeke,CI11,2023-2024,1.808123753527901,District de la Vallée du Bandama
SOUBRE,EPP ZOGBODOUA 2,0,0,CP2,1,0,0,0,0,1,0.3,0.1666666666666666,2024-02-11,31.693548,23.616129,103.64515,0.2896692727491413,0.3127735414791679,0.8184674126737705,-0.5899838347245359,0.0,0.0,0.0,0.0,Nawa,CI26,2023-2024,0.3326488705673545,District du Bas-Sassandra
SOUBRE,EPP SERIGBANGAN,0,0,CP1,0,0,0,0,0,1,0.6,0.1,2024-02-11,31.693548,23.616129,103.64515,0.2896692727491413,0.3127735414791679,0.8184674126737705,-0.5899838347245359,0.0,0.0,0.0,0.0,Nawa,CI26,2023-2024,0.4968829817251177,District du Bas-Sassandra
KORHOGO,EPP MELELE YEO,0,1,CP2,1,0,0,0,0,1,0.8611111111111112,0.25,2024-02-11,5.5970874,2.356796,18.75728,0.5208152726005315,0.121422363352768,0.0484036378201592,-0.5829888439244371,0.0,0.0,0.0,0.0,Poro,CI28,2023-2024,0.4952019186920952,District des Savanes
DIVO,EPP BROUKRO,0,0,CP2,1,0,0,0,0,1,0.6428571428571428,0.3571428571428571,2024-02-11,42.544487,34.455517,117.58363,0.1498118193316092,0.3698870631581478,0.8517868270558819,-0.2189265784795472,0.0,0.0,0.0,0.0,Loh-Djiboua,CI22,2023-2024,0.1106254140291794,District du Gôh-Djiboua
BOUNDIALI,EPP SAN 2,0,0,CP2,1,0,0,0,0,1,1.0,0.3809523809523809,2024-02-11,4.214706,1.7882353,18.917648,0.4180041976830648,0.1018841563326125,0.1628289073591153,-0.4995690777482975,0.0,0.0,0.0,0.0,Bagoue,CI05,2023-2024,0.577073442869153,District des Savanes
SAN-PEDRO,EPP BOHOUSSOUKRO,0,0,CP1,0,0,0,0,0,1,1.0,0.6923076923076923,2024-02-11,39.723076,23.461538,194.70512,0.629098914696334,0.2354763790195905,0.7014207508476213,-0.5421251974576384,0.0,0.0,0.0,0.0,San Pedro,CI29,2023-2024,1.473397533871233,District du Bas-Sassandra
SAN-PEDRO,EPP TAKORANIDI 2,0,0,CP2,1,0,0,0,0,1,0.6785714285714286,0.4285714285714285,2024-02-11,39.723076,23.461538,194.70512,0.629098914696334,0.2354763790195905,0.7014207508476213,-0.5421251974576384,0.0,0.0,0.0,0.0,San Pedro,CI29,2023-2024,0.7065837523723372,District du Bas-Sassandra
SOUBRE,EPP AGBANOU,0,0,CP1,0,0,0,0,0,1,0.9,0.7333333333333334,2024-02-11,31.693548,23.616129,103.64515,0.2896692727491413,0.3127735414791679,0.8184674126737705,-0.5899838347245359,0.0,0.0,0.0,0.0,Nawa,CI26,2023-2024,0.3326488705673545,District du Bas-Sassandra
SAN-PEDRO,EPP SOTREF 1,0,1,CP2,1,0,0,0,0,1,0.7162162162162162,0.3243243243243243,2024-02-11,39.723076,23.461538,194.70512,0.629098914696334,0.2354763790195905,0.7014207508476213,-0.5421251974576384,0.0,0.0,0.0,0.0,San Pedro,CI29,2023-2024,0.5176287785899687,District du Bas-Sassandra
BOUNDIALI,EPP PAPARA 1,0,1,CP1,0,0,0,0,0,1,0.3108108108108108,0.0,2024-02-11,4.214706,1.7882353,18.917648,0.4180041976830648,0.1018841563326125,0.1628289073591153,-0.4995690777482975,0.0,0.0,0.0,0.0,Bagoue,CI05,2023-2024,0.5871130554946677,District des Savanes
SOUBRE,EPP KORE ZOUZOU PAUL 2,0,0,CP1,0,0,0,0,0,1,0.0434782608695652,0.0,2024-02-11,31.693548,23.616129,103.64515,0.2896692727491413,0.3127735414791679,0.8184674126737705,-0.5899838347245359,0.0,0.0,0.0,0.0,Nawa,CI26,2023-2024,0.3331350959199586,District du Bas-Sassandra
BOUNDIALI,EPP SAN 2,0,0,CP1,0,0,0,0,0,0,1.0,0.2777777777777778,2024-02-11,4.214706,1.7882353,18.917648,0.4180041976830648,0.1018841563326125,0.1628289073591153,-0.4995690777482975,0.0,0.0,0.0,0.0,Bagoue,CI05,2023-2024,0.577073442869153,District des Savanes
SAN-PEDRO,EPP N'GUESSANKRO,0,0,CP1,0,0,0,0,0,1,1.0,0.8387096774193549,2024-02-11,39.723076,23.461538,194.70512,0.629098914696334,0.2354763790195905,0.7014207508476213,-0.5421251974576384,0.0,0.0,0.0,0.0,San Pedro,CI29,2023-2024,1.473397533871233,District du Bas-Sassandra
SAN-PEDRO,EPP CATHEDRALE 2,0,1,CP1,0,0,0,0,0,1,0.7857142857142857,0.4285714285714286,2024-02-11,39.723076,23.461538,194.70512,0.629098914696334,0.2354763790195905,0.7014207508476213,-0.5421251974576384,0.0,0.0,0.0,0.0,San Pedro,CI29,2023-2024,0.5176287785899687,District du Bas-Sassandra
